population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,207,Ghana,2,Female,9,20-24 years,297,Tuberculosis,2,Percent,1990,0.074857756130173,0.12410603633543914,0.039986313464424446
1,All Population,1,Deaths,207,Ghana,3,Both,9,20-24 years,297,Tuberculosis,2,Percent,1990,0.0949724450219743,0.13943105285302385,0.0648969169387553
1,All Population,1,Deaths,207,Ghana,1,Male,9,20-24 years,297,Tuberculosis,3,Rate,1990,41.12683155978914,64.47647683746355,25.388971531775315
1,All Population,1,Deaths,207,Ghana,2,Female,9,20-24 years,297,Tuberculosis,3,Rate,1990,30.042635382714863,51.37704542801594,15.542446505049657
1,All Population,1,Deaths,207,Ghana,3,Both,9,20-24 years,297,Tuberculosis,3,Rate,1990,35.311425779259224,51.07878284142356,23.77126336193464
1,All Population,1,Deaths,207,Ghana,1,Male,10,25-29 years,297,Tuberculosis,1,Number,1990,288.45103110431336,413.09128671061217,192.68968259944495
1,All Population,1,Deaths,207,Ghana,2,Female,10,25-29 years,297,Tuberculosis,1,Number,1990,250.8932670880463,404.0421169627221,144.88765439355555
1,All Population,1,Deaths,207,Ghana,3,Both,10,25-29 years,297,Tuberculosis,1,Number,1990,539.3442981923594,728.6911728213776,383.09473437300437
1,All Population,1,Deaths,207,Ghana,1,Male,10,25-29 years,297,Tuberculosis,2,Percent,1990,0.14479078153022307,0.21032818258544284,0.09718067160272717
1,All Population,1,Deaths,207,Ghana,2,Female,10,25-29 years,297,Tuberculosis,2,Percent,1990,0.08942471680068914,0.141381072049897,0.05132665855601548
1,All Population,1,Deaths,207,Ghana,3,Both,10,25-29 years,297,Tuberculosis,2,Percent,1990,0.11239249275012829,0.15054066216849069,0.0811096367618733
1,All Population,1,Deaths,207,Ghana,1,Male,10,25-29 years,297,Tuberculosis,3,Rate,1990,55.46586622920216,79.43277568265617,37.052043523266896
