year,series,observed,trend,cycle_period5,remainder
1990,incidence_age_standardized_rate,485.2443989566,476.85655806449256,2.4986517778785204,5.889189114228899
1991,incidence_age_standardized_rate,464.70558332544,461.09385266095205,1.674310366869168,1.9374202976187684
1992,incidence_age_standardized_rate,445.29094655439,446.622077379562,-1.843205787832325,0.5120749626603711
1993,incidence_age_standardized_rate,427.0897097606101,428.86176524113404,-2.858025536739257,1.0859700562153254
1994,incidence_age_standardized_rate,410.77974830076994,412.5633067520861,0.5282691798238943,-2.3118276311400336
1995,incidence_age_standardized_rate,396.44283826446,397.484199792892,2.4986517778785204,-3.540013306310512
1996,incidence_age_standardized_rate,383.2132908802,383.49733308598,1.674310366869168,-1.9583525726491648
1997,incidence_age_standardized_rate,369.89541175842,370.45850958899604,-1.843205787832325,1.28010795725627
1998,incidence_age_standardized_rate,357.15537622605,358.347016633056,-2.858025536739257,1.666385129733266
1999,incidence_age_standardized_rate,345.58563081585,347.17714852053007,0.5282691798238943,-2.1197868845039807
2000,incidence_age_standardized_rate,335.88537348476,337.17236830552605,2.4986517778785204,-3.7856465986445604
2001,incidence_age_standardized_rate,327.36395031757,328.21869788942405,1.674310366869168,-2.529057938723202
2002,incidence_age_standardized_rate,319.8715106834,320.297190151786,-1.843205787832325,1.4175263194463028
2003,incidence_age_standardized_rate,312.38702414554,313.196015794706,-2.858025536739257,2.049033887573268
2004,incidence_age_standardized_rate,305.97809212766,306.870904128628,0.5282691798238943,-1.42108118079193
2005,incidence_age_standardized_rate,300.37950169936,301.012170308662,2.4986517778785204,-3.131320387180536
2006,incidence_age_standardized_rate,295.73839198717997,295.822858007136,1.674310366869168,-1.7587763868252073
2007,incidence_age_standardized_rate,290.57784158357,291.07137803537796,-1.843205787832325,1.3496693360243412
2008,incidence_age_standardized_rate,286.44046263791,286.608303112356,-2.858025536739257,2.6901850622932617
2009,incidence_age_standardized_rate,282.22069226887,282.033901131936,0.5282691798238943,-0.34147804288988937
2010,incidence_age_standardized_rate,278.06412708425,277.246949020726,2.4986517778785204,-1.6814737143545093
2011,incidence_age_standardized_rate,272.86638208508003,272.07957376253,1.674310366869168,-0.8875020443191379
2012,incidence_age_standardized_rate,266.64308102752,266.548126676436,-1.843205787832325,1.9381601389162952
2013,incidence_age_standardized_rate,260.60358634693,260.924551169586,-2.858025536739257,2.5370607140832764
2014,incidence_age_standardized_rate,254.5634568384,255.786716681188,0.5282691798238943,-1.7515290226119191
2015,incidence_age_standardized_rate,249.94624955,251.492969586218,2.4986517778785204,-4.045371814096526
2016,incidence_age_standardized_rate,247.17720964309,247.99609068412,1.674310366869168,-2.4931914078991504
2017,incidence_age_standardized_rate,245.17434555267,245.111988354382,-1.843205787832325,1.905562986120323
2018,incidence_age_standardized_rate,243.11919183643997,242.243344057748,-2.858025536739257,3.73387331543122
2019,incidence_age_standardized_rate,240.14294518971,237.30578273685202,0.5282691798238943,2.308893273034073
2020,incidence_age_standardized_rate,235.60302806683,229.38601731964803,2.4986517778785204,3.718358969303453
2021,incidence_age_standardized_rate,222.48940303861,219.70191035599802,1.674310366869168,1.1131823157428011
2022,incidence_age_standardized_rate,205.57551846665,222.39810369196053,-1.843205787832325,-14.979379437478194
2023,incidence_age_standardized_rate,194.69865701819,217.89546845731317,-2.858025536739257,-20.33878590238391
1990,mortality_age_standardized_rate,125.51762504880134,123.99752696204087,0.14365126200610734,1.3764468247543626
1991,mortality_age_standardized_rate,120.83513186693366,120.36808375838748,0.31397893302117647,0.1530691755250037
1992,mortality_age_standardized_rate,116.75461891873228,116.90131422518621,-0.12932085994525375,-0.017374446508681612
1993,mortality_age_standardized_rate,112.29749968814292,112.98442990325044,-0.25038459815415903,-0.43654561695336414
1994,mortality_age_standardized_rate,109.10169560332088,109.34525498354705,-0.07792473692787105,-0.16563464329830246
1995,mortality_age_standardized_rate,105.93320343912244,105.8429169332175,0.14365126200610734,-0.053364756101165534
1996,mortality_age_standardized_rate,102.63925726841671,102.3248546919357,0.31397893302117647,0.00042364345983875173
1997,mortality_age_standardized_rate,99.24292866708446,98.57874506823352,-0.12932085994525375,0.7935044587961937
1998,mortality_age_standardized_rate,94.707188481734,94.78217448903516,-0.25038459815415903,0.1753985908529958
1999,mortality_age_standardized_rate,90.37114748480992,91.17403299946785,-0.07792473692787105,-0.7249607777300593
2000,mortality_age_standardized_rate,86.95035054313065,87.81959564769336,0.14365126200610734,-1.0128963665688153
2001,mortality_age_standardized_rate,84.59854982058026,84.85481568782684,0.31397893302117647,-0.5702448002677594
2002,mortality_age_standardized_rate,82.47074190821196,82.47869157877882,-0.12932085994525375,0.12137118937839483
2003,mortality_age_standardized_rate,79.88328868240141,80.63158808410864,-0.25038459815415903,-0.4979148035530696
2004,mortality_age_standardized_rate,78.49052693956978,79.11385392328029,-0.07792473692787105,-0.5454022467826416
2005,mortality_age_standardized_rate,77.7148330697798,77.45986547705809,0.14365126200610734,0.11131633071560498
