series,model,params,train_start,train_end,test_start,test_end,runtime_seconds,status,error,mae,rmse,mape
incidence_age_standardized_rate,LSTM,transform=first_difference; seq_len=5; hidden_size=16; max_epochs=500; final_epochs=53; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps,1990,2017,2018,2023,3.180026459000146,ok,,7.12486344679165,7.520689402039505,3.2074076291187392
mortality_age_standardized_rate,Drift,linear_drift,1990,2017,2018,2023,6.008399986967561e-05,ok,,0.542331277867857,0.6438675598533998,1.1350926223505091
mortality_to_incidence_age_standardized_ratio,ETS,trend=add; damped=False; aic=-334.64,1990,2017,2018,2023,0.010329333999834489,ok,,0.008640460933141492,0.009484106359029507,4.1368477490336
