series,n_observations,increasing_years,decreasing_years,adf_level_p,kpss_level_p,adf_first_difference_p,kpss_first_difference_p
incidence_age_standardized_rate,34,0,33,0.015536142204625444,0.01,0.702094488588089,0.03796648715761058
incidence_all_age_number,34,20,13,4.383461791230443e-05,0.06317624223614567,0.42940418813697445,0.1
incidence_all_age_rate,34,0,33,0.002385839340358455,0.01,0.8042712605565168,0.03192396505545957
mortality_age_standardized_rate,34,0,33,0.0007320950083353974,0.01,0.06493087292964897,0.04472318561413313
mortality_all_age_number,34,13,20,0.5698593291259104,0.1,0.1589672285919863,0.1
mortality_all_age_rate,34,0,33,0.6207905230015471,0.01,0.07433887930322133,0.062204423764536915
mortality_to_incidence_age_standardized_ratio,34,13,20,0.9347788356908577,0.01453160971049684,0.05186796156079714,0.06215616417724667
