year,series,observed,trend,cycle_period5,remainder
1990,incidence_age_standardized_rate,485.2443989566,476.85655806449256,2.4986517778785187,5.889189114228901
1991,incidence_age_standardized_rate,464.70558332544,461.09385266095205,1.674310366869166,1.9374202976187704
1992,incidence_age_standardized_rate,445.29094655439,446.62207737956203,-1.8432057878323267,0.512074962660316
1993,incidence_age_standardized_rate,427.0897097606101,428.86176524113404,-2.858025536739255,1.0859700562153232
1994,incidence_age_standardized_rate,410.77974830076994,412.5633067520861,0.528269179823897,-2.3118276311400363
1995,incidence_age_standardized_rate,396.44283826446,397.484199792892,2.4986517778785187,-3.5400133063105104
1996,incidence_age_standardized_rate,383.2132908802,383.49733308598,1.674310366869166,-1.9583525726491628
1997,incidence_age_standardized_rate,369.89541175842,370.45850958899604,-1.8432057878323267,1.2801079572562717
1998,incidence_age_standardized_rate,357.15537622605,358.347016633056,-2.858025536739255,1.6663851297332637
1999,incidence_age_standardized_rate,345.58563081585,347.17714852053,0.528269179823897,-2.1197868845039265
2000,incidence_age_standardized_rate,335.88537348476,337.17236830552605,2.4986517778785187,-3.7856465986445587
2001,incidence_age_standardized_rate,327.36395031757,328.21869788942405,1.674310366869166,-2.5290579387232
2002,incidence_age_standardized_rate,319.8715106834,320.297190151786,-1.8432057878323267,1.4175263194463046
2003,incidence_age_standardized_rate,312.38702414554,313.196015794706,-2.858025536739255,2.0490338875732657
2004,incidence_age_standardized_rate,305.97809212766,306.870904128628,0.528269179823897,-1.4210811807919326
2005,incidence_age_standardized_rate,300.37950169936,301.012170308662,2.4986517778785187,-3.1313203871805344
2006,incidence_age_standardized_rate,295.73839198717997,295.822858007136,1.674310366869166,-1.7587763868252053
2007,incidence_age_standardized_rate,290.57784158357,291.07137803537796,-1.8432057878323267,1.349669336024343
2008,incidence_age_standardized_rate,286.44046263791,286.608303112356,-2.858025536739255,2.6901850622932595
2009,incidence_age_standardized_rate,282.22069226887,282.03390113193603,0.528269179823897,-0.3414780428899489
2010,incidence_age_standardized_rate,278.06412708425,277.246949020726,2.4986517778785187,-1.6814737143545075
2011,incidence_age_standardized_rate,272.86638208508003,272.07957376253,1.674310366869166,-0.8875020443191359
2012,incidence_age_standardized_rate,266.64308102752,266.548126676436,-1.8432057878323267,1.938160138916297
2013,incidence_age_standardized_rate,260.60358634693,260.92455116958604,-2.858025536739255,2.5370607140832173
2014,incidence_age_standardized_rate,254.5634568384,255.786716681188,0.528269179823897,-1.7515290226119218
2015,incidence_age_standardized_rate,249.94624955,251.49296958621804,2.4986517778785187,-4.045371814096552
2016,incidence_age_standardized_rate,247.17720964309,247.99609068412,1.674310366869166,-2.493191407899148
2017,incidence_age_standardized_rate,245.17434555267,245.111988354382,-1.8432057878323267,1.9055629861203247
2018,incidence_age_standardized_rate,243.11919183643997,242.243344057748,-2.858025536739255,3.7338733154312176
2019,incidence_age_standardized_rate,240.14294518971,237.305782736852,0.528269179823897,2.3088932730340987
2020,incidence_age_standardized_rate,235.60302806683,229.386017319648,2.4986517778785187,3.718358969303483
2021,incidence_age_standardized_rate,222.48940303861,219.70191035599802,1.674310366869166,1.1131823157428031
2022,incidence_age_standardized_rate,205.57551846665,222.39810369196047,-1.8432057878323267,-14.979379437478135
2023,incidence_age_standardized_rate,194.69865701819,217.8954684573131,-2.858025536739255,-20.338785902383826
1990,mortality_age_standardized_rate,125.51762504880134,123.99752696204087,0.14365126200610723,1.3764468247543626
1991,mortality_age_standardized_rate,120.83513186693366,120.36808375838748,0.3139789330211753,0.15306917552500487
1992,mortality_age_standardized_rate,116.75461891873228,116.90131422518623,-0.12932085994525389,-0.017374446508695685
