series,value_1990,value_2023,percent_change_1990_2023,average_annual_percent_change,minimum_year,minimum_value,maximum_year,maximum_value
incidence_age_standardized_rate,485.2443989566,194.69865701819,-59.876166023380776,-2.729333504296716,2023,194.69865701819,1990,485.2443989566
incidence_all_age_number,62664.71239036363,59181.25959019965,-5.558874631808985,-0.1731637093058791,2000,54217.8433159518,2020,67366.58782941918
incidence_all_age_rate,418.0575089176,177.91270193382,-57.44300768703883,-2.555642875689801,2023,177.91270193382,1990,418.0575089176
mortality_age_standardized_rate,125.51762504880134,40.60373671715751,-67.65096798049616,-3.362138292003569,2023,40.60373671715751,1990,125.51762504880134
mortality_all_age_number,9996.536059459995,8232.987710823014,-17.64159442978338,-0.5864242757077087,2023,8232.987710823014,1990,9996.536059459995
mortality_all_age_rate,66.69027596886475,24.750285795928747,-62.887714233655664,-2.9590405161858846,2023,24.750285795928747,1990,66.69027596886475
mortality_to_incidence_age_standardized_ratio,0.25866887967938723,0.20854656800927007,-19.377016567374604,-0.6505607605092445,2021,0.20557742496095704,1997,0.2682999721334753
