series,model,year,forecast,model_params
incidence_age_standardized_rate,Causal_TCN,2024,184.9159924356539,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2025,176.09095855830668,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2026,168.88953513450315,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2027,163.35747784504312,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2028,158.43387647768998,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2029,153.72053861869173,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2030,149.25193506692352,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Drift,2024,185.89424059581395,linear_drift
incidence_age_standardized_rate,Drift,2025,177.08982417343788,linear_drift
incidence_age_standardized_rate,Drift,2026,168.28540775106183,linear_drift
incidence_age_standardized_rate,Drift,2027,159.48099132868577,linear_drift
incidence_age_standardized_rate,Drift,2028,150.67657490630972,linear_drift
incidence_age_standardized_rate,Drift,2029,141.87215848393365,linear_drift
incidence_age_standardized_rate,Drift,2030,133.0677420615576,linear_drift
incidence_age_standardized_rate,ETS,2024,184.56932506450315,trend=add; damped=True; aic=58.87
