series,model,simulation,year,forecast
incidence_age_standardized_rate,Drift,11,2026,159.519296237972
incidence_age_standardized_rate,Drift,11,2027,150.52824227517482
incidence_age_standardized_rate,Drift,11,2028,141.53718831237765
incidence_age_standardized_rate,Drift,11,2029,132.54613434958048
incidence_age_standardized_rate,Drift,11,2030,123.5550803867833
incidence_age_standardized_rate,Drift,12,2024,191.01300502895117
incidence_age_standardized_rate,Drift,12,2025,182.26492809982676
incidence_age_standardized_rate,Drift,12,2026,173.51685117070238
incidence_age_standardized_rate,Drift,12,2027,164.768774241578
incidence_age_standardized_rate,Drift,12,2028,156.02069731245362
incidence_age_standardized_rate,Drift,12,2029,147.27262038332924
incidence_age_standardized_rate,Drift,12,2030,138.52454345420483
incidence_age_standardized_rate,Drift,13,2024,171.89960255554166
incidence_age_standardized_rate,Drift,13,2025,163.20054881051567
incidence_age_standardized_rate,Drift,13,2026,154.50149506548968
incidence_age_standardized_rate,Drift,13,2027,145.80244132046369
incidence_age_standardized_rate,Drift,13,2028,137.1033875754377
incidence_age_standardized_rate,Drift,13,2029,128.4043338304117
incidence_age_standardized_rate,Drift,13,2030,119.7052800853857
incidence_age_standardized_rate,Drift,14,2024,198.25939049369347
incidence_age_standardized_rate,Drift,14,2025,189.77475835513297
incidence_age_standardized_rate,Drift,14,2026,181.2901262165725
incidence_age_standardized_rate,Drift,14,2027,172.805494078012
incidence_age_standardized_rate,Drift,14,2028,164.3208619394515
incidence_age_standardized_rate,Drift,14,2029,155.83622980089103
incidence_age_standardized_rate,Drift,14,2030,147.35159766233053
incidence_age_standardized_rate,Drift,15,2024,176.13388979613114
incidence_age_standardized_rate,Drift,15,2025,167.420578389321
incidence_age_standardized_rate,Drift,15,2026,158.70726698251087
incidence_age_standardized_rate,Drift,15,2027,149.99395557570074
incidence_age_standardized_rate,Drift,15,2028,141.2806441688906
incidence_age_standardized_rate,Drift,15,2029,132.56733276208044
incidence_age_standardized_rate,Drift,15,2030,123.8540213552703
incidence_age_standardized_rate,Drift,16,2024,179.0129700784569
incidence_age_standardized_rate,Drift,16,2025,170.27962548273544
incidence_age_standardized_rate,Drift,16,2026,161.54628088701395
incidence_age_standardized_rate,Drift,16,2027,152.8129362912925
incidence_age_standardized_rate,Drift,16,2028,144.079591695571
incidence_age_standardized_rate,Drift,16,2029,135.3462470998495
incidence_age_standardized_rate,Drift,16,2030,126.61290250412803
incidence_age_standardized_rate,Drift,17,2024,171.54032898553797
incidence_age_standardized_rate,Drift,17,2025,162.0187676858904
incidence_age_standardized_rate,Drift,17,2026,152.49720638624282
incidence_age_standardized_rate,Drift,17,2027,142.97564508659525
incidence_age_standardized_rate,Drift,17,2028,133.45408378694768
incidence_age_standardized_rate,Drift,17,2029,123.9325224873001
incidence_age_standardized_rate,Drift,17,2030,114.41096118765253
incidence_age_standardized_rate,Drift,18,2024,199.8928886714903
incidence_age_standardized_rate,Drift,18,2025,191.86663644061716
incidence_age_standardized_rate,Drift,18,2026,183.840384209744
incidence_age_standardized_rate,Drift,18,2027,175.81413197887085
incidence_age_standardized_rate,Drift,18,2028,167.7878797479977
incidence_age_standardized_rate,Drift,18,2029,159.76162751712457
incidence_age_standardized_rate,Drift,18,2030,151.73537528625138
incidence_age_standardized_rate,Drift,19,2024,184.3049609332299
incidence_age_standardized_rate,Drift,19,2025,174.7428978439623
incidence_age_standardized_rate,Drift,19,2026,165.18083475469476
incidence_age_standardized_rate,Drift,19,2027,155.61877166542718
incidence_age_standardized_rate,Drift,19,2028,146.05670857615962
incidence_age_standardized_rate,Drift,19,2029,136.49464548689207
incidence_age_standardized_rate,Drift,19,2030,126.93258239762449
incidence_age_standardized_rate,Drift,20,2024,188.29330875711028
incidence_age_standardized_rate,Drift,20,2025,179.49828222740388
incidence_age_standardized_rate,Drift,20,2026,170.7032556976975
incidence_age_standardized_rate,Drift,20,2027,161.90822916799112
incidence_age_standardized_rate,Drift,20,2028,153.11320263828475
incidence_age_standardized_rate,Drift,20,2029,144.31817610857834
incidence_age_standardized_rate,Drift,20,2030,135.52314957887197
incidence_age_standardized_rate,Drift,21,2024,169.48395566181478
incidence_age_standardized_rate,Drift,21,2025,160.86282636878298
incidence_age_standardized_rate,Drift,21,2026,152.24169707575115
incidence_age_standardized_rate,Drift,21,2027,143.62056778271932
incidence_age_standardized_rate,Drift,21,2028,134.9994384896875
