series,model,year,forecast,model_params
incidence_age_standardized_rate,ETS,2027,158.17016781907571,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2028,150.55131500677396,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2029,143.45608008753453,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2030,136.84847658088722,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,LSTM,2024,183.93082517919476,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,LSTM,2025,173.65823554911245,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,LSTM,2026,163.78911564305815,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,LSTM,2027,154.56463100444998,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,LSTM,2028,146.17655427502265,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,LSTM,2029,138.59451482019745,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,LSTM,2030,131.90454423986597,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2024,187.8990235152298,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2025,181.71497629309235,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2026,176.14247701788483,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2027,170.79845283651886,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2028,165.57465217733917,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2029,160.1043925108963,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2030,155.09192798758087,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
incidence_age_standardized_rate,Naive,2024,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2025,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2026,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2027,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2028,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2029,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2030,194.69865701819,last_observation
mortality_age_standardized_rate,ARIMA,2024,38.78536928409941,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2025,36.52210663250267,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2026,34.25884398090593,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2027,31.99558132930919,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2028,29.73231867771245,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2029,27.46905602611571,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2030,25.20579337451897,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03"
